OrderID,CustomerID,OrderDate,TotalAmount,SalesChannel
1001,1,2024-01-08 02:01:16.240923,96.0,Store
1002,2,2023-06-12 20:09:33.665913,98.0,Market
1003,3,2024-04-11 16:53:10.692453,458.0,Catering
1004,4,2024-02-17 04:44:11.383870,110.0,Market
1005,5,2023-09-08 14:58:06.742104,150.0,Market
1006,6,2024-03-22 02:23:26.057601,118.0,Catering
1007,7,2024-05-02 07:45:51.649685,126.0,Store
1008,8,2023-08-16 10:27:53.557725,63.0,Store
1009,9,2023-09-06 05:21:16.948118,100.0,Catering
1010,10,2023-09-25 01:39:12.495055,12.0,Store
1011,11,2024-03-12 21:11:22.047822,135.0,Catering
1012,12,2023-06-19 12:10:20.273659,210.0,Store
1013,13,2024-01-05 23:52:00.653582,136.0,Catering
1014,14,2024-02-28 01:39:20.495405,96.0,Store
1015,15,2023-12-08 03:37:40.522396,108.0,Market
1016,16,2023-10-05 19:17:21.202843,70.0,Store
1017,17,2023-11-24 15:51:13.519476,66.0,Market
1018,18,2024-05-05 12:51:36.821265,165.0,Market
1019,19,2023-10-01 08:02:59.117358,156.0,Market
1020,20,2023-10-21 10:26:18.037270,153.0,Store
1021,21,2024-01-11 00:21:46.074759,326.0,Catering
1022,22,2023-09-09 21:44:11.514981,534.0,Catering
1023,23,2023-08-28 01:13:36.961357,12.0,Store
1024,24,2023-05-23 13:31:13.553754,21.0,Store
1025,25,2023-10-15 17:05:00.141876,289.0,Catering
1026,26,2023-06-25 14:11:55.784626,117.0,Catering
1027,27,2023-08-18 01:04:23.090026,579.0,Catering
1028,28,2023-11-30 17:37:52.100726,295.0,Store
1029,29,2023-08-18 04:30:14.838732,134.0,Market
1030,30,2023-10-19 01:47:04.254191,118.0,Store
1031,31,2024-01-18 22:30:13.082054,84.0,Store
1032,32,2023-11-30 14:09:39.656165,48.0,Market
1033,33,2023-12-29 18:53:10.603728,437.0,Catering
1034,34,2023-07-30 03:16:20.755174,160.0,Market
1035,35,2023-07-27 03:09:15.338459,36.0,Market
1036,36,2024-05-10 03:45:45.567055,21.0,Store
1037,37,2023-05-31 04:52:02.645248,110.0,Catering
1038,38,2024-04-16 04:31:38.003983,34.0,Store
1039,39,2024-02-16 20:05:01.326664,110.0,Catering
1040,40,2023-06-16 22:04:11.256558,86.0,Market
1041,41,2023-06-03 21:23:59.727877,32.0,Store
1042,42,2023-11-19 19:24:18.120724,50.0,Store
1043,43,2023-12-17 05:17:40.843827,3.0,Store
1044,44,2024-04-01 22:04:44.069206,24.0,Market
1045,45,2023-10-28 23:49:50.784645,120.0,Catering
1046,46,2023-09-06 19:26:06.500504,284.0,Catering
1047,47,2024-02-16 11:02:15.835984,254.0,Catering
1048,48,2024-03-01 17:08:57.027360,172.0,Store
1049,49,2024-04-22 20:31:18.030712,65.0,Market
1050,50,2023-10-19 00:32:18.749234,100.0,Catering
1051,51,2024-04-29 13:54:59.483053,101.0,Catering
1052,52,2023-08-05 02:00:39.590499,108.0,Market
1053,53,2023-08-08 22:28:24.437477,298.0,Catering
1054,54,2023-12-25 17:58:17.699768,84.0,Store
1055,55,2023-10-03 05:55:31.490924,158.0,Catering
1056,56,2023-09-20 06:52:41.943923,120.0,Store
1057,57,2024-02-01 01:44:22.978004,195.0,Store
1058,58,2023-12-01 18:41:51.517863,10.0,Market
1059,59,2023-07-08 10:43:02.910024,347.0,Catering
1060,60,2024-05-20 15:42:05.365333,78.0,Market
1061,61,2023-11-15 15:29:59.315999,24.0,Market
1062,62,2024-05-05 07:34:21.916422,18.0,Store
1063,63,2023-12-12 09:01:04.680221,85.0,Market
1064,64,2024-04-17 13:12:56.345542,156.0,Market
1065,65,2023-07-28 21:43:47.992254,143.0,Market
1066,66,2023-11-17 15:35:27.497514,77.0,Store
1067,67,2023-10-24 18:13:22.670575,30.0,Store
1068,68,2024-05-17 07:29:12.177866,213.0,Market
1069,69,2023-11-21 13:22:34.570406,632.0,Catering
1070,70,2024-01-25 06:26:04.192546,265.0,Store
1071,71,2023-09-04 01:07:06.133638,35.0,Store
1072,72,2024-02-25 15:13:16.389913,439.0,Catering
1073,73,2023-06-15 17:22:44.868032,118.0,Catering
1074,74,2023-07-30 16:52:40.095460,120.0,Market
1075,75,2024-04-11 02:13:19.005719,261.0,Market
1076,76,2024-04-05 11:23:21.232963,100.0,Store
1077,77,2023-06-03 21:47:14.968626,110.0,Market
1078,78,2023-10-22 21:14:49.715880,45.0,Market
1079,79,2023-09-25 13:19:01.589079,85.0,Store
1080,80,2023-10-30 06:14:20.129134,16.0,Market
1081,81,2023-11-12 20:11:43.532980,234.0,Store
1082,82,2023-12-12 06:18:26.120504,130.0,Catering
1083,83,2024-03-02 04:31:13.668878,84.0,Market
1084,84,2024-02-23 20:04:15.664959,23.0,Market
1085,85,2023-12-31 09:47:17.531279,77.0,Market
1086,86,2023-07-28 21:38:39.589449,115.0,Catering
1087,87,2023-09-02 13:18:15.947597,98.0,Market
1088,88,2023-12-18 05:59:25.502406,482.0,Catering
1089,89,2023-10-03 13:00:03.888197,235.0,Catering
1090,90,2023-11-01 14:11:21.386077,145.0,Market
1091,91,2023-11-19 04:48:31.381229,86.0,Market
1092,92,2024-04-25 09:02:20.864795,140.0,Catering
1093,93,2023-05-25 08:51:04.895351,111.0,Catering
1094,94,2024-03-24 12:30:25.438225,413.0,Catering
1095,95,2024-01-22 13:24:43.803967,185.0,Store
1096,96,2024-01-01 14:19:28.537921,35.0,Store
1097,97,2023-10-03 09:31:57.551596,10.0,Store
1098,98,2023-07-21 00:03:37.586544,637.0,Catering
1099,99,2023-11-27 00:54:39.613280,110.0,Store
1100,100,2023-06-27 21:50:57.323562,136.0,Catering
1101,101,2023-07-27 04:01:23.077787,447.0,Catering
1102,102,2023-10-08 08:17:00.803828,264.0,Catering
1103,103,2023-12-27 04:58:08.340867,176.0,Market
1104,104,2023-09-12 02:25:17.570964,239.0,Catering
1105,105,2023-06-14 22:48:18.629595,11.0,Store
1106,106,2023-11-30 17:00:09.322204,100.0,Market
1107,107,2023-06-20 13:42:21.314116,226.0,Store
1108,108,2024-02-21 21:49:58.476677,129.0,Market
1109,109,2023-10-14 09:42:05.895555,45.0,Store
